job,skill,years
Senior Data Engineer / SeniorLink.2,_Postman,3
Senior Data Engineer / SeniorLink.2,_RDS,3
Senior Data Engineer / SeniorLink.2,Google BigQuery,3
Senior Data Engineer / SeniorLink.2,SimpleDB,3
Senior Data Engineer / SeniorLink.2,Selenium,3
Senior Data Engineer / SeniorLink.2,_S3,3
Senior Data Engineer / SeniorLink.2,_SDK,3
Senior Data Engineer / SeniorLink.2,Jira,3
Senior Data Engineer / SeniorLink.2,GitLab,3
Senior Data Engineer / SeniorLink.2,Jenkins,3
Senior Data Engineer / SeniorLink.2,VSCode,3
Senior Data Engineer / SeniorLink.2,Omnigraffle,3
Senior Data Engineer / SeniorLink.2,MS Project,3
Consulting Backend Engineer / BigR.io,_Elastic Map Reduce,1
Consulting Backend Engineer / BigR.io,Apache Parquet,1
Consulting Backend Engineer / BigR.io,_Secrets Manager,1
Consulting Backend Engineer / BigR.io,_CLI,1
Consulting Backend Engineer / BigR.io,_architecture,1
Consulting Backend Engineer / BigR.io,API Gateway,1
Consulting Backend Engineer / BigR.io,Vue,1
Consulting Backend Engineer / BigR.io,Vuetify,1
Consulting Backend Engineer / BigR.io,JQuery,1
Consulting Backend Engineer / BigR.io,XSLT,1
Consulting Backend Engineer / BigR.io,Altova XMLSpy,1
Consulting Backend Engineer / BigR.io,SnowFlake,1
Consulting Backend Engineer / BigR.io,DynamoDB,1
Consulting Backend Engineer / BigR.io,_Hibernate,1
Consulting Backend Engineer / BigR.io,Flyway,1
Consulting Backend Engineer / BigR.io,Jboss,1
Consulting Backend Engineer / BigR.io,WebSphere,1
Consulting Backend Engineer / BigR.io,Spring,1
Consulting Backend Engineer / BigR.io,Spring JPA,1
Consulting Backend Engineer / BigR.io,Hibernate,1
Consulting Backend Engineer / BigR.io,Servlets,1
Consulting Backend Engineer / BigR.io,Maven,1
Consulting Backend Engineer / BigR.io,Ant,1
Consulting Backend Engineer / BigR.io,Selenium,1
Consulting Backend Engineer / BigR.io,_IAM,1
Consulting Backend Engineer / BigR.io,_S3,1
Consulting Backend Engineer / BigR.io,Akamai,1
Consulting Backend Engineer / BigR.io,VSCode,1
Consulting Backend Engineer / BigR.io,Omnigraffle,1
Consulting Backend Engineer / BigR.io,MS Project,1
Technical Lead / ClipFile,Apache Parquet,5
Technical Lead / ClipFile,_Secrets Manager,5
Technical Lead / ClipFile,_CLI,5
Technical Lead / ClipFile,_architecture,5
Technical Lead / ClipFile,API Gateway,5
Technical Lead / ClipFile,Vue,5
Technical Lead / ClipFile,Vuetify,5
Technical Lead / ClipFile,JQuery,5
Technical Lead / ClipFile,XSLT,5
Technical Lead / ClipFile,Altova XMLSpy,5
Technical Lead / ClipFile,SnowFlake,5
Technical Lead / ClipFile,DynamoDB,5
